source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:CC,microtubule cytoskeleton,GO:0015630,9.64E-07,6.015814098,1376,96,22,26207,"TUBA1C,TUBB3,TUBA8,GAPDH,TUBB4A,TUBB2A,TUBB5,TUBA4A,TUBA3A,DPYSL2,TUBB6,MDH1,HSPA8,TUBB4B,YWHAE,STMN1,DNM1,NME1,CLTC,MAP2,CRMP1,RAN"
GO:CC,cytosolic region,GO:0099522,1.18636E-06,5.925783805,66,96,7,26207,"HSPA8,SNCB,CAMK2A,GDI1,ALDOC,SH3GL2,CALB1"
GO:CC,synaptic vesicle,GO:0008021,1.2756E-06,5.894285686,272,96,11,26207,"HSPA8,PEBP1,SNCA,DNM1,CLTC,ATP6V1B2,ATP6V1A,VAMP2,RAB3A,SH3GL2,SYP"
GO:CC,exocytic vesicle,GO:0070382,2.5674E-06,5.590506252,291,96,11,26207,"HSPA8,PEBP1,SNCA,DNM1,CLTC,ATP6V1B2,ATP6V1A,VAMP2,RAB3A,SH3GL2,SYP"
GO:CC,presynaptic cytosol,GO:0099523,4.40061E-06,5.356486868,46,96,6,26207,"HSPA8,SNCB,CAMK2A,GDI1,SH3GL2,CALB1"
GO:CC,terminal bouton,GO:0043195,6.01297E-06,5.220911133,83,96,7,26207,"DPYSL2,HSPA8,SNCB,SNCA,RAB3A,CALB1,SYP"
GO:CC,neuron to neuron synapse,GO:0098984,8.27782E-06,5.082083767,495,96,13,26207,"GAPDH,YWHAZ,DPYSL2,HSPA8,CFL1,CAMK2A,YWHAH,MAP2,PURA,PPP3R1,SH3GL2,CALB1,SYP"
GO:CC,dendrite,GO:0030425,8.98668E-06,5.046400599,803,96,16,26207,"TUBB3,CKB,DPYSL2,HSP90AB1,HSPA8,CFL1,CAMK2A,HSP90AA1,PPP3CA,MAP2,CRMP1,PURA,SH3GL2,CALB1,FSCN1,NCDN"
GO:CC,intercellular bridge,GO:0045171,9.05823E-06,5.042956536,88,96,7,26207,"TUBB3,TUBB4A,TUBB2A,TUBB5,TUBB6,TUBB4B,GSTM5"
GO:CC,dendritic tree,GO:0097447,9.30033E-06,5.031501558,805,96,16,26207,"TUBB3,CKB,DPYSL2,HSP90AB1,HSPA8,CFL1,CAMK2A,HSP90AA1,PPP3CA,MAP2,CRMP1,PURA,SH3GL2,CALB1,FSCN1,NCDN"
GO:CC,synaptic vesicle membrane,GO:0030672,4.63424E-05,4.33402186,166,96,8,26207,"SNCA,CLTC,ATP6V1B2,ATP6V1A,VAMP2,RAB3A,SH3GL2,SYP"
