Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,LFQ Intensity FASP_8M_1.raw,LFQ Intensity FASP_8M_2.raw,LFQ Intensity FASP_8M_3.raw,LFQ Intensity Control_1.raw,LFQ Intensity Gel_1.raw,LFQ Intensity FASP_Pellet_1.raw,LFQ Intensity SN_1.raw,LFQ Intensity Control_2.raw,LFQ Intensity Gel_2.raw,LFQ Intensity FASP_Pellet_2.raw,LFQ Intensity SN_2.raw,LFQ Intensity Control_3.raw,LFQ Intensity Gel_3.raw,LFQ Intensity FASP_Pellet_3.raw,LFQ Intensity SN_3.raw,LFQ Intensity Pelletpellet_1.raw,LFQ Intensity Pelletpellet_2.raw,LFQ Intensity Pelletpellet_3.raw,LFQ Intensity Pellet_1.raw,LFQ Intensity Pellet_2.raw,LFQ Intensity Pellet_3.raw,LFQ Intensity DRG_Pelletpellet.raw,LFQ Intensity DRG8M.raw,LFQ Intensity DRG_Pellet.raw,LFQ Intensity DRG_Sample.raw,LFQ Intensity DRG_SN.raw,LFQ Intensity Kidney_Pelletpellet.raw,LFQ Intensity Kidney_Pellet.raw,LFQ Intensity Kidney_Sample.raw,LFQ Intensity Kidney_SN.raw,LFQ Intensity Lung8M.raw,LFQ Intensity FASP_SDS_1.raw,LFQ Intensity FASP_SDS_2.raw,LFQ Intensity FASP_SDS_3.raw,LFQ Intensity Skin8M.raw,LFQ Intensity Testes_Pelletpellet.raw,LFQ Intensity Testes_Pellet.raw,LFQ Intensity Testes_Sample.raw,LFQ Intensity Testes_SN.raw,LFQ Intensity TRPA1_gel.raw,LFQ Intensity TRPA1_Xeno.raw,LFQ Intensity TRPV1_gel.raw,LFQ Intensity TRPV1_Xeno.raw
Q8R173,ZDHC3_MOUSE,Zdhhc3,Palmitoyltransferase ZDHHC3,1,1,,,,,,111695,,,,100555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9D270,ZDH21_MOUSE,Zdhhc21,Palmitoyltransferase ZDHHC21,1,1,,,,,,21551.2,,,,,,,,,,,,,,,,,17154,,,,,,,,,,,,,,,,46482.5,,,,
Q5Y5T1,ZDH20_MOUSE,Zdhhc20,Palmitoyltransferase ZDHHC20,2,2,,,,,,,,,,,,,,,,,,,,,,1.70E+06,,,,,,,,,,,,,,,,,,,,,
P59267,ZDHC2_MOUSE,Zdhhc2,Palmitoyltransferase ZDHHC2,2,2,,,,,,,,,,,,,,54178.6,,31641.7,61315.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80TN5,ZDH17_MOUSE,Zdhhc17,Palmitoyltransferase ZDHHC17,9,8,,,,181244,,156323,,157905,140834,297814,,113075,,304173,,,,,,,,,,,,,,,,,,,,,,,,,48911.9,,,,
Q8BQQ1,ZDH14_MOUSE,Zdhhc14,Palmitoyltransferase ZDHHC14,4,3,,,,,,31278.7,,,,72647.3,,,,37637.6,,35044.1,39173,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9CWU2,ZDH13_MOUSE,Zdhhc13,Palmitoyltransferase ZDHHC13,5,5,,,,,,48634.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509567,,,,
Q6IR42,ZCPW1_MOUSE,Zcwpw1,Zinc finger CW-type PWWP domain protein 1,5,5,,,,,,,,,,,,,,,,,,,,,,315433,,,,,,,,,,,,,,8576.5,306412,,40926.4,,,,
Q8R1J3,ZCHC9_MOUSE,Zcchc9,Zinc finger CCHC domain-containing protein 9,1,1,,,,,,,,,,,,,,,,,,,,,,768057,,,,,,,,,,,,,,,,,,,,,
Q9CYA6,ZCHC8_MOUSE,Zcchc8,Zinc finger CCHC domain-containing protein 8,10,10,,,,,107155,,,,,,,,,83877.7,,,,160623,,75877.5,,1.60E+06,121752,174416,,,,,,83495.7,67569.6,,,,,296526,466066,263823,143289,,,,
Q80YV2,ZC3C1_MOUSE,Zc3hc1,Zinc finger C3HC-type protein 1,4,4,,,,,,,,,,,,,,,,,,,,,,1.30E+06,,,,,,,,,,,,,,,,35845.6,,,,,
Q3UPF5,ZCCHV_MOUSE,Zc3hav1,Zinc finger CCCH-type antiviral protein 1,4,4,,,,,,,,,,,,,,,,,,,,,14894.9,82687.3,95678.1,,,,,,,,98496.7,,,,,28090.7,,,15029.9,,,,
F8VPP8,F8VPP8_MOUSE,Zc3h7b,Zinc finger CCCH type containing 7B,15,15,138307,157364,,,315446,111926,43402.8,,322992,126252,34188.8,,271257,106493,35428.4,,,,,,,171225,,,,,,,,,,,,,,172454,110686,139605,41791.6,,,,
Q6ZPZ3,ZC3H4_MOUSE,Zc3h4,Zinc finger CCCH domain-containing protein 4,7,7,,,,,,,,,,102900,,,,,,582196,738466,304366,144587,246216,157339,2.18E+06,,122533,,,,,,,95311.5,,,,,120697,139512,51309.3,,,,,
Q8CHP0,ZC3H3_MOUSE,Zc3h3,Zinc finger CCCH domain-containing protein 3,5,5,,,,,,,,,,,,,,,,82965.6,,,,,,2.23E+06,,,,,,,,,,,,,,,750133,,,,,,
G3X8T2;H3BIW0,G3X8T2_MOUSE;H3BIW0_MOUSE,Zc3h18,Zinc finger CCCH-type containing 18,21,21,495784,269452,261296,,104019,101885,,,,95678.2,,,,99157.3,,28397.6,73050.7,,344253,227877,191579,713455,,309202,,,,172111,,,78699.7,216015,511761,587448,,135126,697867,95775.8,93350.6,,,,
Q3TIV5,ZC3HF_MOUSE,Zc3h15,Zinc finger CCCH domain-containing protein 15,8,8,113457,70775.2,83253.4,,,66014.8,33070.1,,,126186,,,,,40631.4,,,,293182,199762,244233,41906.9,,220591,,,,,112526,,,152228,300038,187433,,64653.4,326392,149777,47572.9,,,,
Q8BJ05,ZC3HE_MOUSE,Zc3h14,Zinc finger CCCH domain-containing protein 14,33,33,,165454,168149,,,53158.6,,,,111987,,,,253460,,345169,454535,229104,390295,262714,285890,3.81E+06,,334793,,,,231919,,,,,,,,319333,2.74E+06,,180790,,,,
E9Q784,ZC3HD_MOUSE,Zc3h13,Zinc finger CCCH domain-containing protein 13,9,9,96224.4,147318,,,,,,,,,,,,,,114997,111648,,145768,196032,,1.13E+06,,115618,,,,104181,,,,,,,,389685,520324,,,,,,
Q6NZF1,ZC11A_MOUSE,Zc3h11a,Zinc finger CCCH domain-containing protein 11A,19,19,353295,280599,405585,,,,,,,152968,,,,153693,,892743,1.26E+06,425450,201269,242236,202497,7.11E+06,,383902,,,,,,,,450295,480739,,,532688,2.78E+06,,,,,,
Q8R205,ZC3HA_MOUSE,Zc3h10,Zinc finger CCCH domain-containing protein 10,1,1,,,,,,,,,,,,,,,,,71201,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8BJH1,ZC21A_MOUSE,Zc2hc1a,Zinc finger C2HC domain-containing protein 1A,13,13,525671,212866,357888,194706,,142127,171754,268971,,139049,230370,363385,,147151,242643,757660,908063,217224,870168,821288,485901,339148,,90226.5,,575297,,311089,,,,4.22E+06,2.09E+06,2.94E+06,,142870,405031,,,,,,
Q505B7,ARCH_MOUSE,Zbtb8os,Protein archease,1,1,,,,,,,27861.2,,,,,,,,47247.3,,,,,,,,,,,,,,,58280.8,,,,,,,,95188.3,30744.8,,,,
O88939,ZBT7A_MOUSE,Zbtb7a,Zinc finger and BTB domain-containing protein 7A,5,5,,88986.3,,,,68157.6,,,,81964.4,,,,77016.2,,103812,126729,,,74746.7,,212442,,,,,,,,,,,,,,108011,,,,,,,
A0A1L1STM6;E9PZ11,A0A1L1STM6_MOUSE;E9PZ11_MOUSE,Zbtb47,Zinc finger and BTB domain containing 47 (Fragment),2,2,,,,,,8011.14,,,,4707.24,,,,19497.2,,30372.4,30445,,17982.3,,,,,,,,,,,,,52210.7,46673.1,,,,,,,,,,
Q52KG4,ZBT45_MOUSE,Zbtb45,Zinc finger and BTB domain-containing protein 45,1,1,,,,,,,,,,,,,,,,,,,,,,246329,,,,,,,,,,,,,,,,,,,,,
Q8R0A2,ZBT44_MOUSE,Zbtb44,Zinc finger and BTB domain-containing protein 44,3,3,,,,,,,,,,,,,,,,1.21E+06,,,,,,8.87E+06,,,,,,,,,,,,,,,,,,,,,
Q5F293,ZBTB4_MOUSE,Zbtb4,Zinc finger and BTB domain-containing protein 4,4,3,,,,,,45627.6,,,,62686.8,,,,,,,36620.9,,,,,,,,,,,,,,,,,,,,,,,,,,
F6Z595;Q3LR78;Q8BW24,F6Z595_MOUSE;Q3LR78_MOUSE;Q8BW24_MOUSE,Zbtb38,Zinc finger and BTB domain-containing protein 38,3,3,,,,,,41623.9,,,,98102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9Z0G7,ZBT22_MOUSE,Zbtb22,Zinc finger and BTB domain-containing protein 22,1,1,,,,,,,,,,,,,,,,,,,,,,62630.9,,,,,,,,,,,,,,,,,,,,,
E9Q3R9;E9Q444;G3X9A3,E9Q3R9_MOUSE;E9Q444_MOUSE;G3X9A3_MOUSE,Zbtb21,Zinc finger and BTB domain containing 21,3,3,,,,,,7243.43,,,,5720.62,,,,8560.15,,55372.6,95115.2,,,,,7557.86,,,,,,,,,,,,,,,,,,,,,
Q8K0L9,ZBT20_MOUSE,Zbtb20,Zinc finger and BTB domain-containing protein 20,10,10,,,,,,497567,,,,638777,,,,,,299566,119455,1.06E+06,,,,809977,,21964.6,,,,,,,,,,,,2.59E+06,,,,,,,
Q9WUK6,ZBT18_MOUSE,Zbtb18,Zinc finger and BTB domain-containing protein 18,3,3,,,,,,122658,,,,120878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5E8B9,ZBT11_MOUSE,Zbtb11,Zinc finger and BTB domain-containing protein 11,3,3,,,,,,57263.9,,,,105518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0P5X5,ZBBX_MOUSE,Zbbx,Zinc finger B-box domain-containing protein 1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219283,,,,,
O88799,ZAN_MOUSE,Zan,Zonadhesin,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241650,,,,
Q00899,TYY1_MOUSE,Yy1,Transcriptional repressor protein YY1,10,7,,317470,426196,,,261043,,,,418799,,,,216399,,515979,456372,538598,458671,200451,262908,5.14E+06,,626220,,,,206532,,,246293,,,,,1.21E+06,5.85E+06,,,,,,
P63101,1433Z_MOUSE,Ywhaz,14-3-3 protein zeta/delta,29,25,3.15E+07,2.77E+07,2.75E+07,3.57E+07,446184,7.35E+06,3.57E+07,4.42E+07,499220,7.02E+06,4.43E+07,4.79E+07,232796,1.73E+07,4.11E+07,1.26E+07,1.28E+07,4.25E+06,3.38E+07,2.11E+07,2.49E+07,7.60E+06,2.71E+07,4.37E+06,4.08E+07,1.11E+07,,9.29E+06,2.40E+07,2.04E+07,2.55E+07,4.17E+06,2.97E+06,1.47E+07,2.21E+07,5.61E+06,7.34E+06,3.37E+07,1.99E+07,,,,
P68254,1433T_MOUSE,Ywhaq,14-3-3 protein theta,20,19,5.07E+06,5.27E+06,4.66E+06,4.51E+06,,1.02E+06,4.77E+06,5.51E+06,,1.30E+06,7.15E+06,6.08E+06,,3.64E+06,6.13E+06,4.80E+06,5.21E+06,3.83E+06,3.28E+06,2.16E+06,2.25E+06,2.79E+06,5.79E+06,410813,1.14E+07,5.13E+06,,2.12E+06,4.91E+06,3.44E+06,6.02E+06,1.05E+06,604462,1.84E+06,2.23E+06,1.45E+06,2.17E+06,1.04E+07,6.10E+06,,,,
P68510,1433F_MOUSE,Ywhah,14-3-3 protein eta,20,20,1.35E+07,1.21E+07,9.06E+06,8.42E+06,,5.95E+06,1.08E+07,9.37E+06,,8.73E+06,1.28E+07,1.24E+07,,1.53E+07,1.23E+07,8.72E+06,1.32E+07,4.25E+06,1.21E+07,9.22E+06,8.79E+06,6.32E+06,9.74E+06,1.13E+06,1.17E+07,4.71E+06,,4.16E+06,2.50E+06,2.00E+06,4.50E+06,1.25E+06,876963,2.49E+06,824546,786935,2.74E+06,3.44E+06,2.51E+06,,,,
P61982,1433G_MOUSE,Ywhag,14-3-3 protein gamma,35,27,2.51E+07,1.76E+07,2.43E+07,2.02E+07,396247,6.25E+06,2.08E+07,2.27E+07,,1.02E+07,2.77E+07,3.05E+07,528792,2.60E+07,2.44E+07,1.61E+07,1.38E+07,1.05E+07,3.12E+07,2.83E+07,2.51E+07,7.33E+06,2.15E+07,2.89E+06,4.79E+07,2.00E+07,,1.65E+07,1.03E+07,6.45E+06,1.08E+07,6.31E+06,4.09E+06,1.40E+07,1.11E+07,2.90E+06,7.80E+06,5.97E+06,4.71E+06,,1.46E+06,,
P62259,1433E_MOUSE,Ywhae,14-3-3 protein epsilon,32,28,3.54E+07,2.84E+07,3.39E+07,3.14E+07,1.02E+06,1.95E+07,2.88E+07,3.08E+07,1.22E+06,2.41E+07,3.56E+07,3.61E+07,804507,2.00E+07,3.27E+07,1.18E+07,1.01E+07,1.04E+07,2.43E+07,2.14E+07,2.82E+07,1.06E+07,2.52E+07,4.28E+06,3.52E+07,2.14E+07,,1.22E+07,2.01E+07,1.47E+07,2.05E+07,4.38E+06,3.27E+06,2.15E+07,3.40E+07,4.21E+06,1.18E+07,3.80E+07,2.42E+07,,2.42E+06,1.35E+06,2.72E+06
Q9CQV8,1433B_MOUSE,Ywhab,14-3-3 protein beta/alpha,15,15,5.52E+06,4.69E+06,5.09E+06,4.25E+06,,905956,5.25E+06,6.71E+06,,875286,7.21E+06,5.88E+06,,2.44E+06,6.36E+06,3.72E+06,3.97E+06,1.48E+06,5.26E+06,3.66E+06,4.49E+06,1.30E+06,2.90E+06,689438,7.41E+06,1.73E+06,,1.42E+06,3.30E+06,2.55E+06,4.68E+06,655161,447266,1.37E+06,1.81E+06,1.28E+06,1.56E+06,3.73E+06,3.05E+06,,,,
Q8BYK6,YTHD3_MOUSE,Ythdf3,YTH domain-containing family protein 3,5,4,,,,,,29594,89753.1,,,,140728,,,,93994.2,,,,,52548.3,110076,,,78927.7,,,,,,,65003.1,,,,,,,,,,,,
Q91YT7,YTHD2_MOUSE,Ythdf2,YTH domain-containing family protein 2,1,1,,,,,,,,,,,,,,12584.3,,,,,,,,,,,,,,,,,,,,,,,862960,110061,87884,,,,
P59326,YTHD1_MOUSE,Ythdf1,YTH domain-containing family protein 1,5,2,,,,,,,86254.1,,,,136907,,,,160442,,,,279204,,184434,,,,,,,,,,117731,,,,,,,,,,805168,415428,
B2RR83,YTDC2_MOUSE,Ythdc2,3'-5' RNA helicase YTHDC2,21,21,,210253,,,209862,321705,,,,287055,,,,141127,61912.6,,155519,168456,,,,246100,,,,,,,,,,,,,,,,427288,190846,,,,
E9Q5K9,YTDC1_MOUSE,Ythdc1,YTH domain-containing protein 1,16,16,482546,312964,,,42871.7,148587,,,,145602,,,,203087,,893637,1.05E+06,647975,235929,108822,205838,9.43E+06,,73568.7,,,,,,,,,279887,,,615722,327464,,,,,,
Q3U5F4,YRDC_MOUSE,Yrdc,Threonylcarbamoyl-AMP synthase,3,3,,,,,,25362.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400394,139508,,,,
O88967,YMEL1_MOUSE,Yme1l1,ATP-dependent zinc metalloprotease YME1L1,19,19,191715,247804,154911,50904.8,,323422,,76344.8,,243488,,,,275365,,286096,300485,270381,,,,651678,136056,139749,,,,193843,,279018,44974.4,,,,,753570,186335,89994.4,143644,,,,
D3YWX2,D3YWX2_MOUSE,Ylpm1,YLP motif-containing protein 1,54,54,1.42E+06,1.05E+06,894109,,,531212,,,,634077,,,,974708,,1.75E+06,2.14E+06,638111,873568,966684,788109,1.13E+07,,216056,,,,441642,,,,711810,733868,1.13E+06,,826663,2.64E+06,,121854,,,,
Q9CQW1,YKT6_MOUSE,Ykt6,Synaptobrevin homolog YKT6,16,16,176041,245233,,869145,,632405,379831,608650,,621758,472966,880018,,67461.2,451052,177425,200310,191610,,,,,397788,,361857,257802,,,569452,521919,341707,,,,,,184648,1.97E+06,738617,,,,
Q9D516,YJU2B_MOUSE,Yju2b,Probable splicing factor YJU2B,3,3,,,,,,,,,,,,,,,,,,,,,,821180,,,,,,,,,,,,,,,1.09E+06,,88662.4,,,,
F6W8I0,YJEN3_MOUSE,Yjefn3,YjeF N-terminal domain-containing protein 3,4,4,,,,264502,,158482,,251284,,107990,68911,212577,,173656,109014,,143819,,,,344044,,,,,,,,,,,,,,,,,,,,,,
Q9EQQ2,YIPF5_MOUSE,Yipf5,Protein YIPF5,2,2,,,,54737.9,,328094,,,,297254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32145.6,,,,
Q8C407,YIPF4_MOUSE,Yipf4,Protein YIPF4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182186,,,,,,,,,581998,,,,
Q3UDR8,YIPF3_MOUSE,Yipf3,Protein YIPF3,8,8,,,,11407.6,,35255.4,,16648.7,,52121,,20023.2,,67766.9,,,,,,,,,,,,,,,,130267,,,,,,36404,,,109413,,,,
Q9CX30,YIF1B_MOUSE,Yif1b,Protein YIF1B,7,7,,,,328856,,544686,,237562,,582820,,350709,,734879,,184388,161447,,,,,1.02E+06,436482,,,526496,,,,,191858,,,,,,174974,,761516,,,,
Q91XB7,YIF1A_MOUSE,Yif1a,Protein YIF1A,4,4,,,,,,,,,,,,,,,,,,273609,,,,295528,,,,,,,,,,,,,,232739,,,275478,,,,
Q04736,YES_MOUSE,Yes1,Tyrosine-protein kinase Yes,8,8,,,,94009,,292000,,,,368274,,76064.1,,310971,,87502.4,108240,505256,,,,387299,159079,,,,,,,179900,213767,,,,,298438,,,238523,,,,
Q9CR11,YETS4_MOUSE,Yeats4,YEATS domain-containing protein 4,5,5,,,,,,83913,,,,58413.2,,,,118168,,81752.6,107379,,138526,,,429732,,,,,,,,,,,,,,88377.6,436783,,,,,,
Q3TUF7,YETS2_MOUSE,Yeats2,YEATS domain-containing protein 2,3,3,,,,,,17258.8,,,,,,,,22947.8,,161796,186037,151230,,,,846191,,,,,,,,,,,,,,112818,,,,,,,
Q9JKB3,YBOX3_MOUSE,Ybx3,Y-box-binding protein 3,14,11,,,,,,,,,,,,,,,,405561,414789,,217217,,,2.70E+06,528377,1.93E+06,,,,1.18E+06,1.03E+06,692465,424749,,,,,,2.64E+06,4.85E+06,2.31E+06,,2.52E+06,1.09E+06,
B2RUF0,B2RUF0_MOUSE,Ybx2,Y box protein 2,21,14,255230,,,,,217312,209035,,,,,,,,,2.02E+06,2.59E+06,2.16E+06,,,,1.33E+07,,1.47E+06,2.33E+06,,,,2.09E+06,,1.18E+06,2.76E+06,,,,2.14E+06,1.21E+07,2.91E+07,1.10E+07,,4.10E+07,8.69E+06,8.55E+06
P62960,YBOX1_MOUSE,Ybx1,Y-box-binding protein 1,3,3,203778,86636.2,124285,,,,,,,,80105.6,,,,,222036,255823,273600,,,,3.02E+06,487503,505802,,,,,995482,114463,547239,,,,,783666,641223,3.00E+06,1.52E+06,,,,
Q8BYL4,SYYM_MOUSE,Yars2,"Tyrosine--tRNA ligase, mitochondrial",15,15,151537,150355,,101097,,406268,,85122.5,,423468,,96702.3,,201521,,147604,161692,116861,,,,105827,,,,,,,,220102,,,,,,163843,,,163869,,,,
Q91WQ3,SYYC_MOUSE,Yars1,"Tyrosine--tRNA ligase, cytoplasmic",29,29,428144,280143,283374,130031,,228320,332708,130386,,163432,417729,169962,,181926,413947,157961,148944,160721,200827,150143,180375,92863.7,423367,83595.6,580265,130271,,119673,383177,156379,171910,,,,,109113,87929,467969,186704,,,,
P46938,YAP1_MOUSE,Yap1,Transcriptional coactivator YAP1,6,6,,,,,,,,,,,,25273.3,,,,,,,,,,,207713,103092,,,,,,10281.2,236857,,,,,76220.5,,,42713.7,,,,
Q3TNA1,XYLB_MOUSE,Xylb,Xylulose kinase,14,14,,,,,,,,,,,,,,,,,,640810,,,,529737,,1.39E+06,4.48E+06,2.22E+06,,,9.03E+06,3.85E+06,351331,,,,,5.63E+06,125007,380505,397046,,,,
Q3U4G3,XXLT1_MOUSE,Xxylt1,Xyloside xylosyltransferase 1,3,3,,,,,,43035.8,,,,51575.1,,,,24304.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3U3V8,XRRA1_MOUSE,Xrra1,X-ray radiation resistance-associated protein 1,3,3,,,,,,,,,,,,,,,,,,,,,,492691,,,,,,,,,,,,,,,,,,,,,
Q9DBR1,XRN2_MOUSE,Xrn2,5'-3' exoribonuclease 2,22,22,777916,778386,,,493158,749161,156510,,367592,882002,,146880,329227,1.17E+06,,1.17E+06,1.26E+06,699945,,102015,290581,7.65E+06,95400.5,250165,,,,,244693,206064,161682,,,,,722643,708090,416504,278818,,,,
A0A087WQN7;F8VQ87,A0A087WQN7_MOUSE;F8VQ87_MOUSE,Xrn1,5'-3' exoribonuclease 1,2,2,,,,,,23494.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23475,XRCC6_MOUSE,Xrcc6,X-ray repair cross-complementing protein 6,8,8,,,,,,,,,,,,,,,,,,,,,,982009,153638,98632.2,,,,,159469,,,,,,,191693,635443,200276,83733.2,,,,
P27641,XRCC5_MOUSE,Xrcc5,X-ray repair cross-complementing protein 5,11,11,,,,49888.1,,82084.2,,,,73829.4,78783.8,,,,91146.7,,,96475.7,,,,290632,,,,,,,256266,,,,,,,102998,,324513,119534,,,,
Q924T3,XRCC4_MOUSE,Xrcc4,DNA repair protein XRCC4,6,6,,,,,,,,,,,,,,,,,,,,,,149674,,,,,,,,,33949,,,,,,,373399,134775,,,,
Q60596,XRCC1_MOUSE,Xrcc1,DNA repair protein XRCC1,20,20,,,,,,,,,,,,,,,,117146,285882,,,,,7.25E+06,,625867,,,,,,,,,475614,,,446067,1.08E+07,273636,372159,,,,
Q9Z0U0,S53A1_MOUSE,Xpr1,Solute carrier family 53 member 1,3,3,,,,,,18345.7,,,,62806.2,,,,79826.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9CRT8,XPOT_MOUSE,Xpot,Exportin-T,14,14,,,,,154479,49662.8,51776.3,,199704,74066.1,69861.2,,169707,,73924.8,,,,,,,,20657.9,,,,,,,,,,,,,,,395000,79843.9,,,,
Q9EPK7,XPO7_MOUSE,Xpo7,Exportin-7,30,29,,,,163396,691600,156200,240875,178291,785201,153735,313886,225316,807694,,294740,,,,,,,,196492,,,,,,117922,145580,159973,,,,,,,557708,257243,,,,
Q924Z6,XPO6_MOUSE,Xpo6,Exportin-6,5,5,,,,8771.51,26249.5,24641.8,,,29071.9,,,,31604.2,,,,,,,,,,,,,,,,,,,,,,,,,55607.4,,,,,
Q924C1,XPO5_MOUSE,Xpo5,Exportin-5,20,20,,,,83795.6,296537,64050.8,188591,60416.1,364321,90075.4,227338,73057.5,388952,43881.9,227283,,,,,,,,,,,,,,122899,67152.7,71742,,,,,,,534826,168528,,,,
Q9ESJ0,XPO4_MOUSE,Xpo4,Exportin-4,13,13,,,,,,73020.2,,,,88384.6,,27746.7,,54322.6,,,,,,,,,,,,,,,,,,,,,,,,17988.8,164530,,,,
Q6P5F9,XPO1_MOUSE,Xpo1,Exportin-1,38,38,,,,253052,923460,338700,410628,226768,1.16E+06,266100,540557,270303,1.28E+06,178868,454891,,,,,,,,227138,,240568,,,,171694,212126,463706,,,,286526,,,1.58E+06,780278,,,,
B7ZMP1,XPP3_MOUSE,Xpnpep3,Xaa-Pro aminopeptidase 3,13,13,247009,155866,84593.1,,,140775,,53708.7,,311521,,39531.5,,435765,,188775,186814,,408028,375157,243561,952246,146815,328311,,,,235955,,398185,74771.2,,,,,303401,1.06E+06,,460955,,,,
B1AVD1,XPP2_MOUSE,Xpnpep2,Xaa-Pro aminopeptidase 2,6,6,,,,,,,,,,,,,,,,,,,,,,,156401,,,,,,,149480,179666,,,,,135528,,,24060.7,,,,
Q3UE92,Q3UE92_MOUSE,Xpnpep1,Xaa-Pro aminopeptidase 1,28,28,315419,372981,428369,546220,257757,257269,784495,479346,379918,286501,885655,608377,521096,342961,762620,235005,253443,267156,315202,250111,192657,370665,251258,610341,1.23E+06,615465,,291489,2.70E+06,1.92E+06,608766,,,,365148,343770,400433,3.85E+06,2.24E+06,,,,
P51612,XPC_MOUSE,Xpc,DNA repair protein complementing XP-C cells homolog,8,8,,,,,,83798.4,,,,109387,,,,,,106340,107287,208897,,,,543322,,,,,,,,,,,,,,481814,,,,,,,
Q9JJR2,XLR5C_MOUSE,Xlr5c,X-linked lymphocyte-regulated protein 5C,2,0,,,,,,,,,,,,,,,,,,,,,,2.32E+06,,,,,,,,,,,,,,,2.84E+06,,,,,,
Q3TKR2,Q3TKR2_MOUSE,Xlr4c,X-linked lymphocyte-regulated 4C,1,1,,,,,,,,,,,,,,,,,,,,,,1.84E+06,,,,,,,,,,,,,,,,,,,,,
A2BI40;Q9JJQ7,A2BI40_MOUSE;Q9JJQ7_MOUSE,Xlr4a;Xlr4b,X-linked lymphocyte-regulated 4A,1,0,,,,,,,,,,,,,,,,,,,,,,4.27E+06,,,,,,,,,,,,,,,,,,,,,
Q61806,XL3C_MOUSE,Xlr3c,X-linked lymphocyte-regulated protein 3C,3,1,,,,,,,,,,,,,,,,,,,,,,801284,,,,,,,,,,,,,,,,,,,,,
Q5GH64,XKR7_MOUSE,Xkr7,XK-related protein 7,3,3,,,,,,68734,,,,50797.7,,,,114399,,67166.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
E9Q6C8,XKR6_MOUSE,Xkr6,XK-related protein 6,4,4,,,,,,325470,,,,275107,,,,335326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5GH66,XKR5_MOUSE,Xkr5,XK-related protein 5,2,2,,,,56301,,,98438.8,83843.7,,,137903,95099.5,,,137245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5GH67,XKR4_MOUSE,Xkr4,XK-related protein 4,5,5,,,,,,502889,,65615,,570760,,135999,,387673,,463849,452030,,,,,,,,,,,,,,,,,,,,,,,,,,
Q00519,XDH_MOUSE,Xdh,Xanthine dehydrogenase/oxidase,22,21,,,,,,,,,,,,,,,,,,,,,,,170828,,,,,,974751,,2.53E+06,,,,3.25E+06,,,284608,137062,439471,1.70E+06,698443,
Q9DCD2,SYF1_MOUSE,Xab2,Pre-mRNA-splicing factor SYF1,9,9,,,,,,131864,,,,141024,,,,,,141251,166673,,,,,268423,,,,,,,,,,,,,,119996,,62462.7,32612.8,,,,
Q9DBH0,WWP2_MOUSE,Wwp2,NEDD4-like E3 ubiquitin-protein ligase WWP2,8,8,,,,,85446.3,399327,,,,412034,,,,237746,,,,267917,,,103454,360907,,,,,,,,,,,,,,151877,,,62619.6,,,,
Q8BZZ3,WWP1_MOUSE,Wwp1,NEDD4-like E3 ubiquitin-protein ligase WWP1,15,14,278210,256277,,,176873,337556,,,142796,359472,,,,205126,,129720,114576,216893,,,,,,,,,,,,,,,,,,265314,,,,,,,
Q91WL8,WWOX_MOUSE,Wwox,WW domain-containing oxidoreductase,5,5,,,,58466.9,,,,36862.1,,83120.4,,70197.3,,142768,,91307.1,75759.1,352448,,,,119772,,,,,,,,,,,,,,163337,,,55264.4,,,,
Q6NXJ0,WWC2_MOUSE,Wwc2,Protein WWC2,5,5,,,,,29799.1,19142.9,,,,,,,,,,44329.9,44134,,,,,216292,,,,,,,,,,,,,,87690.7,,,24688.1,,,,
Q5SXA9,KIBRA_MOUSE,Wwc1,Protein KIBRA,4,4,94495.5,123907,,,424573,85533.2,,,359994,,,,254519,,,306517,654403,,394754,200030,305219,,,,,,,,,,81341.2,,190930,,,,,,,,,,
Q7TQJ8,WTIP_MOUSE,Wtip,Wilms tumor protein 1-interacting protein,2,2,,,,,,,,,,,,,,,,14952.4,13437.4,24906.8,,,,291141,,,,,,,,,,,,,,15335.5,,,,,,,
