Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,LFQ Intensity FASP_8M_1.raw,LFQ Intensity FASP_8M_2.raw,LFQ Intensity FASP_8M_3.raw,LFQ Intensity Control_1.raw,LFQ Intensity Gel_1.raw,LFQ Intensity FASP_Pellet_1.raw,LFQ Intensity SN_1.raw,LFQ Intensity Control_2.raw,LFQ Intensity Gel_2.raw,LFQ Intensity FASP_Pellet_2.raw,LFQ Intensity SN_2.raw,LFQ Intensity Control_3.raw,LFQ Intensity Gel_3.raw,LFQ Intensity FASP_Pellet_3.raw,LFQ Intensity SN_3.raw,LFQ Intensity Pelletpellet_1.raw,LFQ Intensity Pelletpellet_2.raw,LFQ Intensity Pelletpellet_3.raw,LFQ Intensity Pellet_1.raw,LFQ Intensity Pellet_2.raw,LFQ Intensity Pellet_3.raw,LFQ Intensity DRG_Pelletpellet.raw,LFQ Intensity DRG8M.raw,LFQ Intensity DRG_Pellet.raw,LFQ Intensity DRG_Sample.raw,LFQ Intensity DRG_SN.raw,LFQ Intensity Kidney_Pelletpellet.raw,LFQ Intensity Kidney_Pellet.raw,LFQ Intensity Kidney_Sample.raw,LFQ Intensity Kidney_SN.raw,LFQ Intensity Lung8M.raw,LFQ Intensity FASP_SDS_1.raw,LFQ Intensity FASP_SDS_2.raw,LFQ Intensity FASP_SDS_3.raw,LFQ Intensity Skin8M.raw,LFQ Intensity Testes_Pelletpellet.raw,LFQ Intensity Testes_Pellet.raw,LFQ Intensity Testes_Sample.raw,LFQ Intensity Testes_SN.raw,LFQ Intensity TRPA1_gel.raw,LFQ Intensity TRPA1_Xeno.raw,LFQ Intensity TRPV1_gel.raw,LFQ Intensity TRPV1_Xeno.raw
A0A0N4SWG8,A0A0N4SWG8_MOUSE,Zfp638,Zinc finger protein 638 (Fragment),1,1,,,,,,,,,,,,,,,,,,,,,,646028,,,,,,,,,,,,,,,173485,,,,,,
Q8C827,ZFP62_MOUSE,Zfp62,Zinc finger protein 62,2,2,,,,,,13071.8,,,,36730.6,,,,29152.2,,,,,,,,238018,,,,,,,,,,,,,,,,,,,,,
E9Q6S0,E9Q6S0_MOUSE,Zfp597,Zinc finger protein 597,2,2,,,,,,,,,,,,,,,,,,,,,,139940,,,,,,,,,,,,,,,,,,,,,
B7ZCR6;Q6PHP4,B7ZCR6_MOUSE;Q6PHP4_MOUSE,Zfp512b,Zinc finger protein 512B,11,11,73062.7,,,,,,,,,78512.8,,,,196311,,310366,553874,,,,,4.99E+06,,,,,,,,,,2.11E+06,2.22E+06,,,,,,,,,,
Q505F4,Q505F4_MOUSE,Zfp280b,Zinc finger protein 280B,2,2,,,,,,,,,,,,,,,,15915.3,,,,,,125796,,,,,,,,,,,,,,,29039.9,,,,,,
Q3U0X6,Q3U0X6_MOUSE,Zfp217,Zinc finger protein 217,2,2,,,,,,,,,,,,,,,,,,,,,,1.48E+06,,,,,,,,,,,,,,,,,,,,,
G5E8W8,G5E8W8_MOUSE,Zfp185,Zinc finger protein 185,15,6,,,,,,,,,,,,,,,,,,196407,,,,3.26E+06,,735712,,,,463686,,,,,,,,1.16E+06,2.89E+06,,69125.4,,,,
D3Z140;G3X9I0,D3Z140_MOUSE;G3X9I0_MOUSE,Zfp105,Zinc finger protein 105 (Fragment),1,1,,,,,,,,,,,,,,,,,,,,,,79529.6,,,,,,,,,,,,,,,43610.2,,,,,,
Q80ZJ6,ZER1_MOUSE,Zer1,Protein zer-1 homolog,11,11,,233545,,119385,589872,,137156,111415,490879,169821,151785,127741,518204,153711,157330,,,,,,,,,,,,,,,,,,,,,,,,47755.2,,,,
Q9R0G7,ZEB2_MOUSE,Zeb2,Zinc finger E-box-binding homeobox 2,5,4,78028.1,46545.2,55556,,,23257.2,,,,40941.3,,,,,,43828,28355.8,,70533.7,42719.9,42440.4,39713.4,,,,,,44071,,,,59554.4,,75176.4,,,,,,,,,
Q5Y5T5,ZDHC8_MOUSE,Zdhhc8,Palmitoyltransferase ZDHHC8,9,9,,,,,,337387,,,,474368,,,,288999,,71287.6,96567.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8VDZ4,ZDHC5_MOUSE,Zdhhc5,Palmitoyltransferase ZDHHC5,19,18,,,,196608,191985,559074,,315854,,1.27E+06,,157232,,1.75E+06,,1.89E+06,2.24E+06,1.56E+06,,,,1.19E+06,,217024,,,,,,,,,655774,1.12E+06,,1.25E+06,,,,,,,
