protocol,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,intersection_size,term_size,query_size
Pellet-pellet,mitochondrial envelope,GO:0005740,1.0210030792973364e-08,7.990972948099354,20,846,98
FASP-Pellet,vesicle,GO:0031982,1.6533529923708523e-08,7.781634414261267,31,2207,99
FASP-Pellet,postsynaptic density,GO:0014069,2.1750108480643344e-08,7.662538572620732,15,430,99
SN,mitochondrion,GO:0005739,2.34e-08,7.630970078,28,1889,96
Control/membrane,dendrite,GO:0030425,2.7402151561826503e-08,7.562215335911594,19,803,97
Control/membrane,dendritic tree,GO:0097447,2.8577705835578396e-08,7.543972638489068,19,805,97
SN,Schaffer collateral - CA1 synapse,GO:0098685,2.87e-08,7.541968838,10,141,96
Pellet-pellet,intracellular membraneless organelle,GO:0043232,3.953359348052858e-08,7.403033707846908,54,6515,98
Pellet-pellet,membraneless organelle,GO:0043228,3.977770041742184e-08,7.400360327418007,54,6516,98
FASP-Pellet,asymmetric synapse,GO:0032279,4.3524479738807015e-08,7.361266411432128,15,452,99
Pellet-pellet,plasma membrane bounded cell projection,GO:0120025,4.793438691785337e-08,7.31935282289572,32,2481,98
Pellet-pellet,membrane raft,GO:0045121,5.676696153999976e-08,7.24590435082878,13,319,98
Pellet-pellet,neuron to neuron synapse,GO:0098984,1.2943427084676078e-07,6.887950718496816,15,495,98
Pellet-pellet,cell projection,GO:0042995,1.388226020320191e-07,6.857539819625656,32,2587,98
Pellet-pellet,glutamatergic synapse,GO:0098978,2.8882139251113656e-07,6.539370642454681,18,809,98
FASP 8M urea,presynapse,GO:0098793,4.129983601786257e-07,6.384051672718388,18,837,97
Pellet,transmembrane transporter complex,GO:1902495,4.98864908408702e-07,6.302017044508333,14,466,97
FASP 8M urea,distal axon,GO:0150034,6.07087544266292e-07,6.216748677540345,13,392,97
Gel,distal axon,GO:0150034,6.94217303331474e-07,6.158504565761517,13,392,98
FASP SDS,distal axon,GO:0150034,6.94217303331474e-07,6.158504565761517,13,392,98
Pellet,Schaffer collateral - CA1 synapse,GO:0098685,7.350507877770281e-07,6.133682652631053,9,141,97
FASP 8M urea,Schaffer collateral - CA1 synapse,GO:0098685,7.350507877770281e-07,6.133682652631053,9,141,97
Pellet-pellet,postsynaptic specialization,GO:0099572,8.625844675813036e-07,6.064198366390002,14,481,98
Control/membrane,neuron to neuron synapse,GO:0098984,1.077557721e-06,5.967559456890859,14,495,97
SN,synaptic vesicle,GO:0008021,1.2756e-06,5.894285686,11,272,96
FASP 8M urea,membrane protein complex,GO:0098796,1.3361622728e-06,5.874140794910266,21,1256,97
Pellet-pellet,postsynaptic density,GO:0014069,2.0964579123e-06,5.678513851891579,13,430,98
SN,exocytic vesicle,GO:0070382,2.5674e-06,5.590506252,11,291,96
FASP SDS,presynapse,GO:0098793,3.4197468181e-06,5.466006045857913,17,837,98
Pellet-pellet,asymmetric synapse,GO:0032279,3.7847762382e-06,5.421959791560003,13,452,98
Control/membrane,vesicle,GO:0031982,4.7162273354e-06,5.3264052688559325,27,2207,97
Control/membrane,postsynaptic specialization,GO:0099572,6.8949239885e-06,5.1614705172378486,13,481,97
Pellet,membrane protein complex,GO:0098796,7.4264169725e-06,5.12922067000286,20,1256,97
FASP 8M urea,membrane raft,GO:0045121,7.5552768611e-06,5.121749616427166,11,319,97
Pellet,membrane raft,GO:0045121,7.5552768611e-06,5.121749616427166,11,319,97
SN,neuron to neuron synapse,GO:0098984,8.27782e-06,5.082083767,13,495,96
SN,dendrite,GO:0030425,8.98668e-06,5.046400599,16,803,96
SN,dendritic tree,GO:0097447,9.30033e-06,5.031501558,16,805,96
Control/membrane,axon terminus,GO:0043679,9.496184378e-06,5.022450861702806,9,189,97
Control/membrane,Schaffer collateral - CA1 synapse,GO:0098685,1.46076819401e-05,4.8354186958026855,8,141,97
Control/membrane,postsynaptic density,GO:0014069,1.74274114226e-05,4.758767115951803,12,430,97
Pellet,synaptic vesicle,GO:0008021,1.84036500267e-05,4.735096034096328,10,272,97
Pellet-pellet,mitochondrion,GO:0005739,2.21395292912e-05,4.654831616897712,24,1889,98
Control/membrane,asymmetric synapse,GO:0032279,2.9903340913e-05,4.524280287961183,12,452,97
Pellet,exocytic vesicle,GO:0070382,3.45097084408e-05,4.462058709878212,10,291,97
SN,vesicle,GO:0031982,6.31625e-05,4.199540697,25,2207,96
Pellet-pellet,axon,GO:0030424,8.1201000852e-05,4.090438617780551,15,805,98
SN,transport vesicle,GO:0030133,0.000107335,3.969256917,11,421,96
Pellet,transport vesicle,GO:0030133,0.000122479187134,3.911937704611953,11,421,97
Pellet-pellet,presynapse,GO:0098793,0.0001329222413909,3.8764023440745192,15,837,98
Gel,axon terminus,GO:0043679,0.0001509212341808,3.821249651948895,8,189,98
FASP-Pellet,intracellular membraneless organelle,GO:0043232,0.000239692394823,3.620345745435675,47,6515,99
FASP-Pellet,membraneless organelle,GO:0043228,0.0002408221404033,3.6183035879583936,47,6516,99
Pellet-pellet,Schaffer collateral - CA1 synapse,GO:0098685,0.00027339172102,3.5632146410839964,7,141,98
FASP SDS,membrane raft,GO:0045121,0.000844396361354,3.073453646808311,9,319,98
Pellet-pellet,somatodendritic compartment,GO:0036477,0.0010664296749119,2.9720677785686966,16,1123,98
FASP 8M urea,vesicle,GO:0031982,0.0011131343597081,2.953452411444231,23,2207,97
FASP 8M urea,membrane,GO:0016020,0.001143850592508,2.941630698520985,60,10223,97
Pellet-pellet,vesicle,GO:0031982,0.0013466977816727,2.870729855263024,23,2207,98
Gel,mitochondrion,GO:0005739,0.001414320780447,2.8494520775418426,21,1889,98
FASP 8M urea,synaptic vesicle,GO:0008021,0.002080752198272,2.681779637871548,8,272,97
Pellet-pellet,dendrite,GO:0030425,0.0024586717771651,2.609299443965722,13,803,98
Pellet-pellet,dendritic tree,GO:0097447,0.0025246077954362,2.5978060811128056,13,805,98
FASP 8M urea,exocytic vesicle,GO:0070382,0.0033952943243246,2.469122572520546,8,291,97
FASP SDS,Schaffer collateral - CA1 synapse,GO:0098685,0.0040427237710766,2.393325931878174,6,141,98
FASP-Pellet,distal axon,GO:0150034,0.0048622256599006,2.31316488906006,9,392,99
SN,membrane raft,GO:0045121,0.005929128,2.22700915,8,319,96
FASP 8M urea,transport vesicle,GO:0030133,0.0070691474082684,2.1506329621878875,9,421,97
SN,asymmetric synapse,GO:0032279,0.011012891,1.958098658,9,452,96
Pellet,vesicle,GO:0031982,0.012393520857482,1.9068052980018944,21,2207,97
FASP 8M urea,transmembrane transporter complex,GO:1902495,0.0155154862978735,1.8092346078868875,9,466,97
Gel,transmembrane transporter complex,GO:1902495,0.0169086820002385,1.7718902435159016,9,466,98
SN,postsynaptic specialization,GO:0099572,0.017757088,1.750628241,9,481,96
Gel,intracellular membraneless organelle,GO:0043232,0.0190226859775644,1.7207281612747145,42,6515,98
Gel,membraneless organelle,GO:0043228,0.0190943431314872,1.7190952772894728,42,6516,98
Pellet,axon terminus,GO:0043679,0.0196104146940584,1.707513222373165,6,189,97
Pellet-pellet,synaptic vesicle,GO:0008021,0.0196600471826557,1.7064154442280723,7,272,98
Pellet-pellet,membrane,GO:0016020,0.024845684016342,1.6047490423705044,57,10223,98
Pellet-pellet,exocytic vesicle,GO:0070382,0.0299290380686147,1.5239072413357535,7,291,98
Pellet,membrane,GO:0016020,0.0373987560066615,1.4271428434794031,56,10223,97
SN,postsynaptic density,GO:0014069,0.047494888,1.323353134,8,430,96
Gel,mitochondrial membrane,GO:0031966,0.0481539102355267,1.3173684411508435,11,791,98
Pellet-pellet,transport vesicle,GO:0030133,0.0489836583650918,1.3099487825342877,8,421,98
